shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product_Goodness
1,1,20.18800,800.30652,0.47400,28.21571,1989.88623,1645.02698,0.32800,22.64494,3.04000,199.80000,210.10001,220.10001,230.00000,239.80000,41.20000,0.66600,1
2,1,20.18800,800.12207,0.35600,28.22590,2013.20068,1652.60425,0.32800,22.65514,3.06000,199.80000,210.00000,220.00000,230.00000,239.80000,40.70000,0.66800,1
3,1,20.18800,800.30652,0.47400,28.21061,2023.98364,1647.94128,0.32400,22.62965,3.05600,199.80000,210.00000,220.00000,230.00000,239.80000,40.50000,0.67000,1
4,1,20.18800,800.12207,0.35400,28.20042,2001.44629,1652.70142,0.32400,22.62456,3.05800,199.80000,210.10001,220.10001,229.80000,239.80000,40.20000,0.67000,1
5,1,20.18800,800.12207,0.35200,28.20552,1993.09204,1655.51855,0.32400,22.63475,3.06400,199.60001,210.00000,220.00000,229.80000,239.80000,40.00000,0.66800,1
6,1,20.18800,799.93762,0.35200,28.20042,1976.38330,1651.43848,0.32400,22.61946,3.06800,199.80000,209.80000,220.00000,230.00000,239.80000,39.90000,0.67000,1
7,1,20.18800,800.30652,0.47600,28.24629,1975.60620,1655.13000,0.32400,22.65004,3.06200,199.80000,210.10001,220.10001,230.00000,239.80000,39.90000,0.67000,1
8,1,20.18800,800.12207,0.35600,28.20042,1992.02344,1651.82703,0.32800,22.63475,3.05200,199.80000,210.00000,220.00000,230.00000,239.80000,39.70000,0.67200,1
9,1,20.18800,800.12207,0.34600,28.23100,2000.96057,1649.78711,0.32400,22.63475,3.07000,199.80000,209.80000,220.00000,230.00000,239.80000,39.70000,0.67000,1
10,1,20.19000,800.12207,0.40200,28.20552,2013.49207,1656.97571,0.32800,22.62965,3.06400,199.80000,210.10001,220.10001,230.00000,239.80000,39.70000,0.67200,1
11,1,20.18800,800.12207,0.35400,28.20552,1993.09204,1658.82141,0.32600,22.63475,3.06200,199.80000,210.10001,220.00000,230.00000,239.80000,40.00000,0.67000,1
12,1,20.19000,800.49097,0.35800,28.20552,2007.08069,1649.98132,0.32600,22.62965,3.06400,199.80000,209.80000,220.00000,230.00000,239.80000,40.00000,0.67000,0
13,1,20.18800,800.30652,0.40400,28.24119,2008.63489,1649.98132,0.32800,22.65514,3.05600,199.80000,210.10001,220.10001,230.00000,240.00000,40.20000,0.66600,1
14,1,20.18800,800.30652,0.40400,28.24119,2035.64087,1647.74707,0.32600,22.64494,3.05600,199.60001,210.10001,220.00000,229.80000,240.00000,40.20000,0.66800,1
15,1,20.18800,799.93762,0.35600,28.20042,2009.99500,1651.34131,0.32600,22.63984,3.04800,199.60001,209.80000,220.00000,229.80000,240.00000,40.50000,0.67000,1
16,1,20.18800,800.12207,0.35800,28.21571,2029.81226,1645.60986,0.32600,22.65514,3.06800,199.80000,210.10001,220.10001,229.80000,239.80000,40.50000,0.67000,1
17,1,20.18800,800.30652,0.40200,28.24629,2016.89209,1645.22131,0.32400,22.66023,3.05600,199.80000,210.10001,220.10001,230.00000,239.80000,40.70000,0.67000,1
18,1,20.18800,800.12207,0.40600,28.21061,2022.23499,1650.95276,0.32800,22.62965,3.05800,199.80000,210.00000,220.00000,230.00000,239.80000,40.90000,0.67000,1
19,1,20.18800,800.12207,0.40800,28.24629,2008.73206,1650.75854,0.32400,22.65004,3.05600,199.80000,210.10001,220.10001,229.80000,239.80000,41.00000,0.67000,1
20,1,20.18800,800.30652,0.35600,28.19532,2038.45801,1642.40417,0.32600,22.64494,3.05800,199.80000,210.10001,220.00000,229.80000,239.80000,41.20000,0.66600,1
